0,1,2,3
,"Degree-Seeking
First-Time
First Year","Degree-Seeking
Undergraduates
(include first-time
first-year)","Total
Undergraduates
(both degree- and
non-degree-
seeking)"
Nonresident aliens,206,672,673
Hispanic/Latino,277,972,972
"Black or African American, non-Hispanic",153,524,524
"White, non-Hispanic",623,"2,429","2,429"
"American Indian or Alaska Native, non-Hispanic",5,24,24
"Asian, non-Hispanic",352,"1,399","1,399"
"Native Hawaiian or other Pacific Islander, non-
Hispanic",3,8,8
"Two or more races, non-Hispanic",126,439,439
Race and/or ethnicity unknown,41,68,68
TOTAL,"1,786","6,535","6,536"
