0,1,2,3
,"Degree-
Seeking
First-Time
First Year","Degree-
Seeking
Undergrad-
uates
(include first-
time first-
year)","Total
Undergrad-
uates (both
degree- and
non-degree-
seeking)"
Nonresident aliens,193,734,807
Hispanic/Latino,191,739,745
"Black or African American, non-Hispanic",124,480,482
"White, non-Hispanic",722,"2,760","2,773"
"American Indian or Alaska Native, non-Hispanic",8,23,24
"Asian, non-Hispanic",353,"1,227","1,238"
"Native Hawaiian or other Pacific Islander, non-Hispanic",3,10,10
"Two or more races, non-Hispanic",127,417,418
Race and/or ethnicity unknown,30,242,295
TOTAL,"1,751","6,632","6,792"
