0,1,2,3
,"Degree-Seeking
First-Time
First Year","Degree-Seeking
Undergraduates
(include first-time
first-year)","Total
Undergraduates (both
degree & non-degree-
seeking)"
Nonresidents,180,690,690
Hispanic/Latino,224,983,983
"Black or African American, non-Hispanic",145,551,552
"White, non-Hispanic",486,"2,333","2,336"
"American Indian or Alaska Native, non-Hispanic",6,21,21
"Asian, non-Hispanic",349,"1,486","1,488"
"Native Hawaiian or other Pacific Islander, non-
Hispanic",2,10,10
"Two or more races, non-Hispanic",117,472,472
Race and/or ethnicity unknown,45,93,93
TOTAL,"1,554","6,639","6,645"
