0,1,2,3
Undergraduate Students: Full-Time,Men,Women,"Another
Gender"
"Degree-seeking, first-time, first-year
students",154,112,C or t
"Other first-year, degree-seeking students",4,1,C or t
"All other degree-seeking undergraduate
students",422,330,C or t
"Total degree-seeking undergraduate
students",580,443,C or t
"All other undergraduates enrolled in credit
courses",C or t,C or t,C or t
Total Undergraduate Full-Time Students,580,443,C or t
