0,1,2,3
,"Degree-seeking
First-time First
year","Degree-seeking
Undergraduates
(include first-time
first-year)","Total
Undergraduates
(both degree- and
non-degree-
seeking)"
Nonresidents,31,92,92
Hispanic/Latino,41,216,216
"Black or African American, non-Hispanic",11,34,34
"White, non-Hispanic",44,208,208
"American Indian or Alaska Native, non-
Hispanic",0,1,1
"Asian, non-Hispanic",82,338,338
"Native Hawaiian or otherPacific Islander,
non-Hispanic",0,1,1
"Two or more races, non-Hispanic",14,87,87
Race and/or ethnicity unknown,1,5,5
Total,224,982,982
