0,1,2,3
,"Degree-Seeking
First-Time
First Year","Degree-Seeking
Undergraduates
(include first-time
first-year)","Total
Undergraduates
(both degree- and
non-degree-
seeking)"
Nonresident aliens,147,549,572
Hispanic/Latino,296,"1,097","1,097"
"Black or African American, non-Hispanic",99,326,326
"White, non-Hispanic","1,238","5,882","5,882"
"American Indian or Alaska Native, non-Hispanic",0,18,18
"Asian, non-Hispanic",121,473,473
"Native Hawaiian or other Pacific Islander, non-
Hispanic",1,12,12
"Two or more races, non-Hispanic",133,505,505
Race and/or ethnicity unknown,24,88,88
TOTAL,"2,059","8,950","8,973"
