0,1,2,3
Undergraduate Students: Full-Time,Men,Women,Another Gender
"Degree-seeking, first-time freshmen",884,741,
"Other first-year, degree-seeking",69,55,
All other degree-seeking,"3,043","2,680",
Total degree-seeking,"3,996","3,476",0
All other undergraduates enrolled in credit,7,9,
Total undergraduate Full-Time Students,"4,003","3,485",0
