0,1,2,3
Undergraduate Students: Full-Time,Men,Women,Another Gender
"Degree-seeking, first-time freshmen",1060,"1,015",
"Other first-year, degree-seeking",15,8,
All other degree-seeking,"3,487","3,324",
Total degree-seeking,"4,562","4,347",0
All other undergraduates enrolled in credit,17,27,
Total undergraduate Full-Time Students,"4,579","4,374",0
