0,1,2,3
,"Degree-Seeking
First-Time
First Year","Degree-Seeking
Undergraduates
(include first-time
first-year)","Total
Undergraduates (both
degree & non-degree-
seeking)"
Nonresidents,222,681,694
Hispanic/Latino,125,554,554
"Black or African American, non-Hispanic",128,441,441
"White, non-Hispanic",505,"2,076","2,076"
"American Indian or Alaska Native, non-Hispanic",2,7,7
"Asian, non-Hispanic",375,"1,299","1,299"
