0,1,2,3
,"Degree-Seeking
First-Time
First Year","Degree-Seeking
Undergraduates
(include first-time first-
year)","Total
Undergraduates (both
degree & non-degree-
seeking)"
Nonresidents,151,556,607
Hispanic/Latino,296,"1,163","1,163"
"Black or African American, non-Hispanic",115,350,350
"White, non-Hispanic","1,185","5,682","5,682"
"American Indian or Alaska Native, non-Hispanic",3,14,14
"Asian, non-Hispanic",118,508,508
"Native Hawaiian or other Pacific Islander, non-Hispanic",4,15,15
"Two or more races, non-Hispanic",128,517,517
Race and/or ethnicity unknown,37,112,115
TOTAL,"2,037","8,917","8,971"
