0,1,2,3
,"Degree-Seeking
First-Time
First Year","Degree-Seeking
Undergraduates
(include first-time
first-year)","Total
Undergraduates (both
degree & non-degree-
seeking)"
Nonresidents,171,586,619
Hispanic/Latino,103,429,429
"Black or African American, non-Hispanic",68,266,266
"White, non-Hispanic",509,"2,096","2,101"
"American Indian or Alaska Native, non-Hispanic",13,50,50
"Asian, non-Hispanic",154,600,602
"Native Hawaiian or other Pacific Islander, non-
Hispanic",0,0,1
"Two or more races, non-Hispanic",83,300,300
Race and/or ethnicity unknown,23,85,90
TOTAL,"1,124","4,412","4,458"
