0,1,2,3,4,5,6
,Men,,Women,,Another Gender,
,"Full Time
Enrollment","Part Time
Enrollment","Full Time
Enrollment","Part Time
Enrollment","Full Time
Enrollment","Part Time
Enrollment"
UNDERGRADUATE STUDENTS,,,,,,
"Degree-seeking, first-time, first-year
students",616.0,0.0,571.0,0.0,19.0,0.0
"Other first-year, degree-seeking students",0.0,0.0,0.0,0.0,0.0,0.0
"All other degree-seeking undergraduate
students","1,591.0",1.0,"1,525.0",0.0,44.0,0.0
Total degree-seeking undergraduate students,"2,207.0",1.0,"2,096.0",0.0,63.0,0.0
"All other undergraduates enrolled in
credit courses",30.0,13.0,23.0,14.0,0.0,0.0
Total Undergraduate Students,"2,237.0",14.0,"2,119.0",14.0,63.0,0.0
