0,1,2,3,4,5
,"FIRST-TIME, FIRST-YEAR STUDENT APPLICANTS",,,TOTAL,
"Total first-time, first-year men who applied",,,"8,973",,
"Total first-time, first-year women who applied",,,"4,134",,
"Total first-time, first-year of another gender who applied",,,C or t,,
