0,1,2,3,4,5,6
,Men,,Women,,Another Gender,
,"Full Time
Enrollment","Part Time
Enrollment","Full Time
Enrollment","Part Time
Enrollment","Full Time
Enrollment","Part Time
Enrollment"
UNDERGRADUATE STUDENTS,,,,,,
"Degree-seeking, first-time, first-year
students",764,,880,,,
"Other first-year, degree-seeking students",5,,7,,,
"All other degree-seeking undergraduate
students","2,556",,"2,850",,,
"Total degree-seeking undergraduate
students","3,325",0,"3,737",0,0,0
"All other undergraduates enrolled in
credit courses",24,,24,,,
Total Undergraduate Students,"3,349",0,"3,761",0,0,0
,,,,0,,
,,,,"7,062",,
,,,,"7,062",,
,,,,"7,110",,
