0,1,2,3,4
,FULL-TIME,,PART-TIME,
,Men Women,,Men Women,
Undergraduates,,,,
"Degree-seeking, first-time
freshmen","1 ,115","1 ,078",-,-
"Other first-year, degree-seeking",1 3,4,-,-
All other degree-seeking,"3 ,442","3 ,180",1 8,4
Total degree-seeking,"4 ,570","4 ,262",1 8,4
"All other undergraduates
enrolled in credit courses",-,1,7,1 2
Total undergraduates,"4 ,570","4 ,263",2 5,1 6
Graduate,,,,
"Degree-seeking, first-time",7 38,5 72,4 7,1 7
All other degree-seeking,"1 ,352","1 ,021",6 1,3 7
"All other graduates enrolled in
credit courses",1 6,1,2 6,4 7
Total graduate,"2 ,106","1 ,594",1 34,1 01
Total all students,"6 ,676","5 ,857",1 59,1 17
