0,1
"Total first-time, first-year (freshman) men who applied:","15,887"
"Total first-time, first-year (freshman) women who applied:","10,302"
"Total first-time, first-year (freshman) men who were admitted:","2,117"
"Total first-time, first-year (freshman) women who were admitted:","2,407"
"Total full-time, first-time, first-year (freshman) men who enrolled:",815
"Total part-time, first-time, first-year (freshman) men who enrolled:",3
"Total full-time, first-time, first-year (freshman) women who enrolled:",817
"Total part-time, first-time, first-year (freshman) women who enrolled:",2
