0,1,2,3,4,5,6
,Men,,Women,,Another Gender,
,"Full Time
Enrollment","Part Time
Enrollment","Full Time
Enrollment","Part Time
Enrollment","Full Time
Enrollment","Part Time
Enrollment"
UNDERGRADUATE STUDENTS,,,,,,
"Degree-seeking, first-time, first-year
students","1,643.0",0.0,"1,894.0",0.0,,
"Other first-year, degree-seeking students",22.0,0.0,22.0,0.0,,
"All other degree-seeking undergraduate
students","5,529.0",64.0,"6,694.0",87.0,,
Total degree-seeking undergraduate students,"7,194.0",64.0,"8,610.0",87.0,0.0,0.0
"All other undergraduates enrolled in credit
courses",49.0,1.0,66.0,0.0,,
