0,1,2,3,4
ti t d b d t d,t l FU thLiL -lTiIMk E,,PART-TIME,
,Men Women,,Men Women,
Undergraduates,,,,
"Degree-seeking, first-time
freshmen",798,988,0,0.0
"Other first-year, degree-seekin",g 5,8,0,0.0
All other degree-seeking,"2,362","2,370",4,0.0
Total degree-seeking,"3,165","3,366",4,0.0
"All other undergraduates
enrolled in credit courses",,1,,
Total undergraduates,"3,165","3,367",4,0.0
Graduate,,,,
"Degree-seeking, first-time",1216,1503,32,47.0
All other degree-seeking,10,15,3,2.0
"All other graduates enrolled in
credit courses",2414,2670,46,73.0
Total graduate,3640,4188,81,122.0
Total all students,"6,805","7,555",85,122.0
