0,1,2,3
,"Degree-Seeking
First-Time
First Year","Degree-Seeking
Undergraduates
(include first-time
first-year)","Total
Undergraduates
(both degree- and
non-degree-
seeking)"
Nonresident aliens,291,"1,433","1,433"
Hispanic/Latino,530,"2,158","2,158"
"Black or African American, non-Hispanic",258,"1,057","1,057"
"White, non-Hispanic","1,060","5,121","5,121"
"American Indian or Alaska Native, non-Hispanic",7,35,35
"Asian, non-Hispanic",731,"3,071","3,071"
"Native Hawaiian or other Pacific Islander, non-
Hispanic",3,16,16
"Two or more races, non-Hispanic",154,739,739
Race and/or ethnicity unknown,215,"1,111","1,113"
TOTAL,"3,249","14,741","14,743"
