0,1
☒ Coed residence halls,☐ Special housing for international students
☐ Men’s residence halls,☐ Fraternity/sorority housing
☐ Women’s residence halls,☐ Cooperative housing
☐ Apartments for married students,☐ Theme housing
☐ Apartments for single students,☐ Wellness Housing
☒ Special housing for disabled students,☐ Living Learning Communities
☐ Other housing options (specify):,
