0,1,2,3
,"Degree-seeking
First-time First
year","Degree-seeking
Undergraduates
(include first-time
first-year)","Total
Undergraduates
(both degree- and
non-degree-seeking)"
Nonresidents,205,907,911
Hispanic/Latino,304,"1,234","1,239"
"Black or African American, non-Hispanic",169,569,570
"White, non-Hispanic",678,"3,186","3,195"
"American Indian or Alaska Native, non-Hispanic",3,8,8
"Asian, non-Hispanic",437,"1,818","1,821"
"Native Hawaiian or other Pacific Islander, non-Hispanic",5,6,6
"Two or more races, non-Hispanic",167,618,618
Race and/or ethnicity unknown,70,291,291
Total,"2,038","8,637","8,659"
