0,1,2,3
,"Degree-Seeking
First-Time
First Year","Degree-Seeking
Undergraduates
(include first-time
first-year)","Total
Undergraduates
(both degree & non-
degree-seeking)"
Nonresidents,336,"1,153","1,591"
Hispanic/Latino,538,"1,734","2,311"
"Black or African American, non-Hispanic",290,839,"1,150"
"White, non-Hispanic","1,071","4,016","5,147"
"American Indian or Alaska Native, non-Hispanic",5,30,40
"Asian, non-Hispanic",823,"2,802","3,670"
"Native Hawaiian or other Pacific Islander, non-H",ispanic 5,15,21
"Two or more races, non-Hispanic",213,633,862
Race and/or ethnicity unknown,210,717,943
