0,1,2,3,4,5,6
,FULL-TIME,,,PART-TIME,,
,Men,Women,"Another
Gender",Men,Women,"Another
Gender"
Undergraduate Students,,Undergraduate Students,,,,
"Degree-seeking, first-time, first-year
students",923,"1,115",0,0,0,0
"Other first-year, degree-seeking students",64,83,0,6,2,0
"All other degree-seeking undergraduate
students","2,964","3,377",1,51,51,0
"Total degree-seeking undergraduate
students","3,951","4,575",1,57,53,0
"All other undergraduates enrolled in credit
courses",0,1,0,10,10,1
Undergraduate Students,,,,,,
