0,1,2
"$1,226.00","$1,226.00","$1,226.00"
,,"$12,296.00"
,"$7,132.00","$7,132.00"
,,"$19,428.00"
Varies,Varies,Varies
"$2,182.00","$2,182.00","$2,182.00"
