0,1,2,3
Undergraduate Students: Full-Time,Men,Women,"Another
Gender"
"Degree-seeking, first-time, first-year students",965,1144,2
"Other first-year, degree-seeking students",76,59,1
"All other degree-seeking undergraduate
students","2,936","3,527",3
Total degree-seeking undergraduate students,"3,977","4,730",6
"All other undergraduates enrolled in credit
courses",1,1,0
Total Undergraduate Full-Time Students,"3,978","4,731",6
