0,1,2,3
,"Degree-seeking
First-time First year","Degree-seeking
Undergraduates
(include first-time
first-year)","Total
Undergraduates
(both degree and
non-degree-seeking)"
Nonresidents,237,"1,015","1,015"
Hispanic/Latino,270,"1,152","1,151"
"Black or African American, non-Hispanic",146,575,575
"White, non-Hispanic",365,"1,792","1,792"
"American Indian or Alaska Native, non-Hispanic",8,24,24
"Asian, non-Hispanic",293,"1,387","1,387"
"Native Hawaiian or other Pacific Islander, non-Hispanic",2,13,13
"Two or more races, non-Hispanic",112,491,491
Race and/or ethnicity unknown,21,129,129
Total,"1,454","6,578","6,578"
