0,1,2,3
,"Degree-Seeking
First-Time
First Year","Degree-Seeking
Undergraduates
(include first-time
first-year)","Total
Undergraduates (both
degree & non-degree-
seeking)"
Nonresidents,266,"1,190","1,201"
Hispanic/Latino,369,"1,215","1,215"
"Black or African American, non-Hispanic",153,502,502
"White, non-Hispanic",487,"2,393","2,393"
"American Indian or Alaska Native, non-Hispanic",0,1,1
"Asian, non-Hispanic",293,"1,480","1,480"
"Native Hawaiian or other Pacific Islander, non-Hispa",nic 0,1,1
"Two or more races, non-Hispanic",129,527,527
Race and/or ethnicity unknown,32,150,150
TOTAL,"1,729","7,459","7,470"
