0,1,2,3,4
ti t d b d t d,t l FU thLiL -lTiIMk E,,PART-TIME,
,Men Women,,Men Women,
Undergraduates,,,,
"Degree-seeking, first-time
freshmen",927,"1,159",0,0
"Other first-year, degree-seekin",g 57,52,8,2
All other degree-seeking,"2,927","3,228",55,69
Total degree-seeking,"3,911","4,439",63,71
"All other undergraduates
enrolled in credit courses",0,1,0,9
Total undergraduates,"3,911","4,440",63,80
Graduate,,,,
"Degree-seeking, first-time",1539,1883,283,382
All other degree-seeking,3327,3612,1654,1691
"All other graduates enrolled in
credit courses",14,6,19,29
Total graduate,4880,5501,1956,2102
Total all students,"8,791","9,941","2,019","2,182"
